typ;id;model_id;kod_kreskowy;numer_egzemplarza;stara_nazwa;nowa_nazwa;zmieniono;reguly;status_po;podejrzane_powody
EGZEMPLARZ_OPAKOWANIA;221;12;0100000000056;;2 x Kolumna pasywna L'Acoustics X12 (zestaw 1) 2/2szt Waga: 65kg;2 x Kolumna pasywna L'Acoustics X12 (zestaw 1);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;13;13;;;2 x Kolumna pasywna L'Acoustics X12 (zestaw 2);2 x Kolumna pasywna L'Acoustics X12 (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;217;13;0100000000057;;2 x Kolumna pasywna L'Acoustics X12 (zestaw 2) 2/2szt Waga: 65kg;2 x Kolumna pasywna L'Acoustics X12 (zestaw 2);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;14;14;;;2 x Kolumna pasywna L'Acoustics X8 (zestaw 1);2 x Kolumna pasywna L'Acoustics X8 (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;107;14;0100000000054;;2 x Kolumna pasywna L'Acoustics X8 (zestaw 1) 2/2szt Waga: 39.3kg;2 x Kolumna pasywna L'Acoustics X8 (zestaw 1);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;15;15;;;2 x Kolumna pasywna L'Acoustics X8 (zestaw 2);2 x Kolumna pasywna L'Acoustics X8 (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;393;15;0100000000055;;2 x Kolumna pasywna L'Acoustics X8 (zestaw 2) 2/2szt Waga: 39.3kg;2 x Kolumna pasywna L'Acoustics X8 (zestaw 2);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;16;16;;;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 1);2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;71;16;0100000000133;2;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 1) 2/2szt Waga: 9.4kg [2];2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 1) [2];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;17;17;;;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 2);2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;357;17;0100000000134;1;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 2) 2/2szt Waga: 9.4kg [1];2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 2) [1];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;18;18;;;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 3);2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 3);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;137;18;0100000000135;3;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 3) 2/2szt Waga: 9.4kg [3];2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 3) [3];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;19;19;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 1);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;394;19;0100000000144;1;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 1) 2/2szt Waga: 10.5kg [1];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 1) [1];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;20;20;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 10);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 10);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;111;20;0100000000139;10;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 10) 2/2szt Waga: 10.5kg [10];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 10) [10];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;21;21;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 2);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;228;21;0100000000142;2;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 2) 2/2szt Waga: 10.5kg [2];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 2) [2];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;22;22;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 3);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 3);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;34;22;0100000000138;3;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 3) 2/2szt Waga: 10.5kg [3];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 3) [3];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;23;23;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 4);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 4);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;94;23;0100000000145;4;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 4) 2/2szt Waga: 10.5kg [4];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 4) [4];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;24;24;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 5);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 5);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;187;24;0100000000140;5;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 5) 2/2szt Waga: 10.5kg [5];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 5) [5];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;25;25;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 6);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 6);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;224;25;0100000000141;6;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 6) 2/2szt Waga: 10.5kg [6];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 6) [6];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;26;26;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 7);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 7);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;178;26;0100000000143;7;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 7) 2/2szt Waga: 10.5kg [7];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 7) [7];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;27;27;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 8);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 8);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;64;27;0100000000137;8;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 8) 2/2szt Waga: 10.5kg [8];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 8) [8];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;28;28;;;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 9);2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 9);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;169;28;0100000000136;9;2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 9) 2/2szt Waga: 10.5kg [9];2 x LAPTOP POMOCNICZNY [Dell Latitude E5450] (zestaw 9) [9];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;29;29;;;2 x LAPTOP REALIZACYJNY [DELL Latitude 5440] (zestaw 4);2 x LAPTOP REALIZACYJNY [DELL Latitude 5440] (zestaw 4);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;168;29;0100000000146;4;2 x LAPTOP REALIZACYJNY [DELL Latitude 5440] (zestaw 4) 2/2szt Waga: 9.5kg [4];2 x LAPTOP REALIZACYJNY [DELL Latitude 5440] (zestaw 4) [4];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;30;30;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 1);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;174;30;0100000000489;1;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 1) 2/2szt Waga: 4.4kg [1];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 1) [1];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;31;31;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 10);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 10);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;356;31;0100000000498;10;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 10) 2/2szt Waga: 4.4kg [10];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 10) [10];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;32;32;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 2);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;52;32;0100000000490;2;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 2) 2/2szt Waga: 4.4kg [2];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 2) [2];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;33;33;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 3);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 3);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;179;33;0100000000491;3;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 3) 2/2szt Waga: 4.4kg [3];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 3) [3];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;34;34;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 4);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 4);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;389;34;0100000000492;4;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 4) 2/2szt Waga: 4.4kg [4];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 4) [4];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;35;35;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 5);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 5);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;360;35;0100000000493;5;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 5) 2/2szt Waga: 4.4kg [5];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 5) [5];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;36;36;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 6);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 6);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;232;36;0100000000494;6;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 6) 2/2szt Waga: 4.4kg [6];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 6) [6];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;37;37;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 7);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 7);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;46;37;0100000000495;7;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 7) 2/2szt Waga: 4.4kg [7];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 7) [7];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;38;38;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 8);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 8);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;121;38;0100000000496;8;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 8) 2/2szt Waga: 4.4kg [8];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 8) [8];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;39;39;;;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 9);2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 9);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;161;39;0100000000497;9;2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 9) 2/2szt Waga: 4.4kg [9];2 x LAPTOP REALIZACYJNY [DELL PRO PLUS 14] (zestaw 9) [9];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;40;40;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 1);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;355;40;0100000000103;1;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 1) 2/2szt Waga: 9.2kg [1];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 1) [1];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;41;41;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 10);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 10);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;323;41;0100000000166;10;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 10) 0/2szt Waga: 4.30kg [10];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 10) [10];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;42;42;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 11);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 11);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;385;42;0100000000164;11;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 11) 2/2szt Waga: 8.5kg [11];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 11) [11];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;43;43;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 12);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 12);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;427;43;0100000000171;12;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 12) 2/2szt Waga: 8.5kg [12];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 12) [12];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;44;44;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 13);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 13);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;162;44;0100000000167;13;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 13) 3/2szt Waga: 8.5kg [13];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 13) [13];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;45;45;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 14);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 14);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;198;45;0100000000168;14;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 14) 2/2szt Waga: 8.5kg [14];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 14) [14];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;46;46;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 15);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 15);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;415;46;0100000000172;15;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 15) 2/2szt Waga: 8.5kg [15];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 15) [15];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;47;47;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 2);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;210;47;0100000000104;2;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 2) 2/2szt Waga: 9.2kg [2];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 2) [2];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;48;48;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 3);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 3);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;395;48;0100000000105;3;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 3) 2/2szt Waga: 9.2kg [3];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 3) [3];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;49;49;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 5);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 5);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;3;49;0100000000107;5;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 5) 2/2szt Waga: 9.2kg [5];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 5) [5];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;50;50;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 6);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 6);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;149;50;0100000000163;6;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 6) 2/2szt Waga: 8.5kg [6];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 6) [6];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;51;51;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 7);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 7);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;468;51;0100000000170;7;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 7) 0/2szt Waga: 4.30kg [7];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 7) [7];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;52;52;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 8);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 8);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;101;52;0100000000165;8;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 8) 0/2szt Waga: 4.30kg [8];2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 8) [8];TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;53;53;;;2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 9);2 x LAPTOP REALIZACYJNY [Dell Latitude 5440] (zestaw 9);NIE;;OK;
